League,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2005-2006 NBA NBA Summer League Stats,Stephen Graham,PHX,6,27.7,10.5,3.8,8.2,.469,0.2,0.5,.333,2.7,3.3,.800,0.5,3.3,3.8,1.0,0.3,0.3,2.0,4.0
2005-2006 NBA NBA Summer League Stats,Quinton Ross,LAC,2,29.0,10.5,3.5,8.5,.412,0.0,0.5,.000,3.5,4.0,.875,1.0,3.5,4.5,0.5,1.0,0.0,1.5,3.5
2005-2006 NBA NBA Summer League Stats,Tyus Edney,DEN,6,21.5,10.3,4.0,6.3,.632,1.0,1.5,.667,1.3,1.8,.727,1.0,0.8,1.8,1.5,1.2,0.0,2.3,1.3
2005-2006 NBA NBA Summer League Stats,Mike Harris,DAL,4,23.5,10.3,3.5,6.8,.519,0.3,0.8,.333,3.0,3.3,.923,1.5,3.5,5.0,1.3,0.3,0.5,0.8,2.5
2005-2006 NBA NBA Summer League Stats,Jameer Nelson,ORL,4,22.8,10.3,4.0,9.0,.444,0.0,0.5,.000,2.3,3.8,.600,0.8,2.0,2.8,2.3,1.0,0.3,3.3,3.5
2005-2006 NBA NBA Summer League Stats,Blake Stepp,CLE,5,20.2,10.2,3.4,7.8,.436,2.2,4.4,.500,1.2,1.4,.857,0.2,2.0,2.2,1.8,1.2,0.0,1.8,3.4
2005-2006 NBA NBA Summer League Stats,Trevor Ariza,NYK,5,28.2,10.0,3.4,6.8,.500,0.0,0.4,.000,3.2,4.6,.696,1.4,3.0,4.4,2.6,1.0,0.0,1.8,2.2
2005-2006 NBA NBA Summer League Stats,Ron Slay,PHX,6,19.8,10.0,2.8,5.7,.500,0.2,1.2,.143,4.2,4.5,.926,0.5,2.5,3.0,0.7,0.7,0.2,2.0,4.7
2005-2006 NBA NBA Summer League Stats,Darko Milicic,DET,5,29.8,9.8,3.6,9.8,.367,0.0,0.0,.000,2.6,3.6,.722,1.2,4.6,5.8,1.2,0.0,1.4,2.0,4.8
2005-2006 NBA NBA Summer League Stats,Drago Pasalic,CHI,5,17.6,9.6,4.2,8.8,.477,0.8,2.4,.333,0.4,1.0,.400,1.4,2.8,4.2,0.2,0.2,0.2,1.0,4.0
2005-2006 NBA NBA Summer League Stats,Andray Blatche,WAS,6,30.0,9.5,4.2,9.7,.431,0.8,2.3,.357,0.3,1.7,.200,1.5,5.0,6.5,1.2,1.2,0.7,3.0,4.3
2005-2006 NBA NBA Summer League Stats,John Lucas,CLE,3,18.3,9.3,4.7,8.3,.560,0.0,1.7,.000,0.0,0.0,.000,0.7,0.7,1.3,1.3,0.0,0.0,1.0,1.0
2005-2006 NBA NBA Summer League Stats,Olumide Oyedeji,CLE,6,20.0,9.2,3.5,5.7,.618,0.0,0.0,.000,2.2,3.5,.619,2.7,4.3,7.0,0.5,0.2,0.7,0.5,2.5
2005-2006 NBA NBA Summer League Stats,Alpha Bangura,LAC,2,17.5,9.0,4.0,6.0,.667,0.0,0.0,.000,1.0,3.5,.286,1.5,0.0,1.5,0.5,1.0,0.0,2.0,4.0
2005-2006 NBA NBA Summer League Stats,Travis Diener,ORL,5,23.0,8.8,2.6,5.6,.464,1.4,2.6,.538,2.2,2.6,.846,1.0,3.8,4.8,4.0,0.6,0.0,1.0,2.4
2005-2006 NBA NBA Summer League Stats,Kasib Powell,CHI,5,23.4,8.8,4.0,8.0,.500,0.0,0.8,.000,0.8,1.6,.500,0.8,1.8,2.6,2.0,1.4,0.6,0.8,3.6
2005-2006 NBA NBA Summer League Stats,Amir Johnson,DET,5,19.4,8.8,3.6,5.2,.692,0.2,0.2,1.000,1.4,2.4,.583,0.6,2.6,3.2,0.4,0.4,0.4,1.4,5.4
2005-2006 NBA NBA Summer League Stats,Boniface Ndong,DEN,6,18.5,8.7,3.3,6.2,.541,0.0,0.0,.000,2.0,2.3,.857,0.7,3.2,3.8,1.2,0.5,0.5,1.7,3.5
2005-2006 NBA NBA Summer League Stats,David Hawkins,WAS,6,16.8,8.7,3.2,7.5,.422,0.3,1.2,.286,2.0,4.2,.480,0.3,0.7,1.0,0.5,0.8,0.0,1.0,2.2
2005-2006 NBA NBA Summer League Stats,Darius Rice,DAL,5,17.4,8.4,2.6,6.6,.394,1.2,4.0,.300,2.0,2.0,1.000,0.8,2.2,3.0,1.4,0.2,0.2,1.4,2.4
2005-2006 NBA NBA Summer League Stats,Ersin Dagli,LAC,4,25.0,8.0,3.0,5.8,.522,0.0,0.0,.000,2.0,3.8,.533,2.0,4.8,6.8,0.5,0.3,0.3,0.8,4.0
2005-2006 NBA NBA Summer League Stats,Daniel Ewing,LAC,5,28.4,8.0,2.6,7.0,.371,0.4,1.0,.400,2.4,3.2,.750,0.8,1.8,2.6,1.6,1.6,0.0,2.2,3.6
2005-2006 NBA NBA Summer League Stats,Melvin Sanders,NJN,2,18.0,8.0,4.0,8.5,.471,0.0,0.0,.000,0.0,0.0,.000,0.5,0.5,1.0,1.0,0.0,0.5,1.0,3.5
2005-2006 NBA NBA Summer League Stats,David Graves,GSW,1,19.0,8.0,2.0,3.0,.667,0.0,0.0,.000,4.0,4.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0
2005-2006 NBA NBA Summer League Stats,Gerald Green,BOS,6,18.8,8.0,3.2,7.8,.404,0.7,1.2,.571,1.0,2.0,.500,0.3,1.0,1.3,0.3,0.5,0.0,2.0,3.8
2005-2006 NBA NBA Summer League Stats,Ebi Ere,POR,6,18.0,7.8,3.2,6.3,.500,0.5,1.8,.273,1.0,1.3,.750,0.5,1.0,1.5,0.2,0.7,0.3,1.2,1.0
2005-2006 NBA NBA Summer League Stats,Andris Biedrins,GSW,5,20.6,7.8,3.0,5.8,.517,0.0,0.0,.000,1.8,4.2,.429,2.4,3.8,6.2,0.4,0.2,1.2,2.0,5.6
2005-2006 NBA NBA Summer League Stats,Ray Young,GSW,4,21.8,7.8,3.0,7.3,.414,0.3,0.3,1.000,1.5,2.0,.750,0.3,1.8,2.0,1.5,1.5,0.0,1.0,3.8
2005-2006 NBA NBA Summer League Stats,David Bailey,CHI,5,17.8,7.6,2.6,5.4,.481,0.2,0.4,.500,2.2,2.6,.846,0.4,1.4,1.8,3.6,1.2,0.0,1.8,2.0
